"file","lhs","op","rhs","beta","se","z","pval","level"
"data13","X7","~","X8lag",-0.871686759535136,0.0104829815300276,-83.152560847147,0,"group"
"data13","X7","~","X5lag",0.369757563397821,0.0112580078215167,32.8439604288716,0,"group"
"data13","X7","~","X4lag",-0.618112017802342,0.0141527322011777,-43.6743950931897,0,"group"
"data13","X1","~","X2lag",0.502429121386739,0.0243063625324125,20.670683271376,0,"group"
"data13","X8","~","X2lag",0.867948598250887,0.0124173752549821,69.8979116301288,0,"group"
"data13","X8","~","X4lag",0.341444947875526,0.0149373268428287,22.8585041666576,0,"group"
"data13","X8","~","X5lag",-0.25857269016461,0.0219106722415371,-11.8012212183258,0,"group"
"data13","X5","~","X2lag",-0.412429527366039,0.0162070617278216,-25.4475199942041,0,"group"
"data13","X3","~","X5",0.49539622040746,0.00916488145239832,54.0537510474641,0,"group"
"data13","X6","~","X5lag",0.174588301070909,0.00760987275237246,22.94234171215,0,"group"
"data13","X6","~","X7lag",-0.381736069404465,0.00805973855312887,-47.3633315631896,0,"group"
"data13","X4","~","X3lag",-0.614153684559074,0.0131266455667398,-46.7867957153662,0,"group"
"data13","X4","~","X2lag",-0.458273415495863,0.0212662255829249,-21.5493536316017,0,"group"
"data13","X4","~","X5lag",-0.440850796280472,0.011448100423853,-38.5086416050235,0,"group"
"data13","X1","~","X4lag",-0.14446505880939,0.0208544804708662,-6.9272911886349,4.28967972254668e-12,"group"
